"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Bautätigkeit und Wohnungsmarkt im Jahre 1942",1942,19,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1942","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Bautaetigkeit-und-Wohnungsmarkt-im-Jahre-1942.pdf"
"Das Personal der Zürcher Stadtverwaltung",1942,19,"Überblick über die Stadtzürcher Beamte, Angestellte und Arbeiter 1893 bis1942","Bevölkerung, Arbeit, Stadt Zürich",63,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Das-Personal-der-Zuercher-Stadtverwaltung.pdf"
"Kantonsratswahl 1943 in Zürich",1942,19,"Übersicht über die Parteistärke und der Kantonsratsitze nach Parteien der Kantonalratswahl in der Stadt Zürich 1943","Bevölkerung, Wahlen, Politik, Kantonsratswahlen, Parteien",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Kantonsratswahl-1943-in-Zuerich.pdf"
"Vierteljahres-Überblick",1942,19,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1942","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1942_ZSN_Vierteljahres-Ueberblick.pdf"
"Fünfzig Jahre Zürcher Statistik",1943,20,"Die Tätigkeit nahm das Amt 1983 mit der ersten Eingemeindung von elf Aussengemeinden auf. Seither ist das Amt stetig gewachsen. Dieser Aufsatz gibt einen Überblick über die ersten fünfzig Jahre der Stadtzürcher Statistik.","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung",56,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1943_ZSN_Fuenfzig-Jahre-Zuercher-Statistik.pdf"
"Zürichs Bevölkerung im Jahre 1942",1942,20,"Ehen, Geburten, Tod und die Wanderungsbewegung in Zürich 1942","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Bevölkerungsstand, Bevölkerungsgliederung",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1942/1943_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1942.pdf"
"Zürichs Spiel-, Turn- und Sportplätze",1943,20,"Turnen, Sport und Leibesübungen in Zürich 1943","Sport, Turnen",50,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1943_ZSN_Zuerichs-Spiel--Turn--und-Sportplaetze.pdf"
"Schulleistung und Körpergrösse und -gewicht bei Zürcher Volksschülern",1943,20,"Überblick über die Körpergrösse und Prüfungsnoten aufgennomme und zurückgewiesen Schüler 1943","Kinder, Gesundheit, Geschlecht, Schule",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1943_ZSN_Schulleistung-und-Koerpergroesse-und--gewicht-bei-Zuercher-Volksschuelern.pdf"
"Förderung von Literatur, Kunst und allgemeiner Kultur durch die Stadt Zürich",1943,20,"Überblick über die Förderung der bildenden Kunst durch Ankauf von Kunstwerken usw.","Bildung, Kultur, Preise, Wertschöpfung, Bilder, Kunst",26,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1943_ZSN_Foerderung-von-Literatur-Kunst-und-allgemeiner-Kultur-durch-die-Stadt-Zuerich.pdf"
"Bautätigkeit und Wohnungsmarkt im Jahre 1943",1943,20,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1943","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1943_ZSN_Bautaetigkeit-und-Wohnungsmarkt-im-Jahre-1943.pdf"
"Die Nationalratswahl vom 31. Oktober 1943 in der Stadt Zürich",1943,20,"Überblick über die Stimmberechtigte, Stimmbeteiligung, Wahlzettel, Parteien der Nationalrahtswahl in der Stadt Zürich 1943","Bevölkerung, Wahlen, Politik, Nationalratswahlen, Parteien",39,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1943_ZSN_Die-Nationalratswahl-vom-31-Oktober-1943-in-der-Stadt-Zuerich.pdf"
"Die Lebenshaltung von Zürcher Arbeiterhaushaltungen in der Kriegszeit",1943,20,"Überblick über die Hauptergebnisse von Haushaltrechnungen 1943","Ernährung, Haushalte, Preise, Durchschnittspreise",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1943_ZSN_Die-Lebenshaltung-von-Zuercher-Arbeiterhaushaltungen-in-der-Kriegszeit.pdf"
"Vierteljahres-Überblick",1943,20,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1943","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise,",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1943_ZSN_Vierteljahres-Ueberblick.pdf"
"Zur Zürcher Flughafenfrage",1944,21,"Überblick über den Flughafen Dübendorf und die Planung des Flughafen Kloten 1944","Verkehr, Flughafen",36,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Zur-Zuercher-Flughafenfrage.pdf"
"Entwicklung des Verkehrs des Flugplatzes Dübendorf",1944,21,"Flugleistungen im schweizerischem Luftverkehr 1921 bis 1943","Verkehr, Flughafen",54,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Entwicklung-des-Verkehrs-des-Flugplatzes-Duebendorf.pdf"
"Die Bevölkerung der Stadt Zürich im Jahre 1943",1944,21,"Ehen, Geburten, Tod und die Wanderungsbewegung in Zürich 1943","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Bevölkerungsstand, Bevölkerungsgliederung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Die-Bevoelkerung-der-Stadt-Zuerich-im-Jahre-1943.pdf"
"Förderung von Literatur, Kunst und allgemeiner Kultur durch die Stadt Zürich",1944,21,"Beiträge der Stadt Zürich an Gesellschaften, Vereine, öffentliche und Private Unternehmumgen 1944","Unternehmen, Kultur, Vereine",86,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Foerderung-von-Literatur-Kunst-und-allgemeiner-Kultur-durch-die-Stadt-Zuerich.pdf"
"25 Jahre städtische Berufsberatung in Zürich",1943,21,"Berufsberatung sowie Lehrstellen- und Arbeitsstellenvermittlungen in Zürich 1919 bis 1943","Arbeitsmarkt, Beschäftigte, Bildung, , Lehrlinge, Berufe",30,"https://statistik.stadt-zuerich.ch/modules/StatNat/1943/1944_ZSN_25-Jahre-staedtische-Berufsberatung-in-Zuerich.pdf"
"Bautätigkeit und Wohnungsmarkt Zürichs im Jahre 1944",1944,21,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1944","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Bautaetigkeit-und-Wohnungsmarkt-Zuerichs-im-Jahre-1944.pdf"
"Lebenshaltungskosten in Zürich 1914 bis 1944",1944,21,"Entwicklung der Lebenshaltungskosten in Zürich 1914 bis 1944","Indexreihen, Konsumentenpreise, Preise, Lebensmittel, Lebenskosten",42,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Lebenshaltungskosten-in-Zuerich-1914-bis-1944.pdf"
"Förderung des Zivilluftverkehrs durch Kanton und Stadt Zürich",1944,21,"Überblick über die Förderung des Zivilluftverkehrs durch Kanton und Stadt Zürich 1923 bis 1943","Zivilluftverkehr",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Foerderung-des-Zivilluftverkehrs-durch-Kanton-und-Stadt-Zuerich.pdf"
"Zürichs Bevölkerung im Jahre 1944",1944,21,"Ehen, Geburten, Tod, Wanderungsbewegung und Einbürgerungen in Zürich 1944","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Bevölkerungsstand, Bevölkerungsgliederung",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1944.pdf"
"Die Entwicklung der Lebenshaltungskosten ausserhalb des Indexes seit 1939",1944,21,"Überblick über die Entwicklung der Lebenshaltungskosten ausserhalb des Indexes in Zürich 1939 bis 1944","Indexreihen, Konsumentenpreise, Preise, Lebensmittel, Lebenskosten",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Die-Entwicklung-der-Lebenshaltungskosten-ausserhalb-des-Indexes-seit-1939.pdf"
"Vierteljahres-Überblick",1944,21,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, dem Neubau usw. der Stadt Zürich im Überblick 1944","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1944/1944_ZSN_Vierteljahres-Ueberblick.pdf"
"Die Lebenshaltung von Zürcher Arbeiterfamilien 1943 und 1944",1945,22,"Überblick über Haushaltungen, Einahmen und Ausgaben von Zürcher Arbeiterfamilien 1943 und 1944","Haushalte, Durchschnittspreise, Einnahmen, Ausgaben",36,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Die-Lebenshaltung-von-Zuercher-Arbeiterfamilien-1943-und-1944.pdf"
"Arbeitslöhne in Zürich",1945,22,"Entwicklung der Arbeitslöhne in Zürich 1909 bis 1944","Löhne, Arbeitsmarkt",62,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Arbeitsloehne-in-Zuerich.pdf"
"Das Haus zum Napf",1945,22,"Geschichte über das Haus zum Napf 1357 bis 1944","Gebäude, Haus zum Napf",80,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Das-Haus-zum-Napf.pdf"
"Über den Einfluss der Kriegsernährung auf das Wachstum der Schulkinder",1945,22,"Entwicklung des Wachstum der Schulkinder aufgrund der Kriegsernährung in Zürich 1934 bis 1945","Ernährung, Wachstum, Schulkinder",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Ueber-den-Einfluss-der-Kriegsernaehrung-auf-das-Wachstum-der-Schulkinder.pdf"
"Die neueste Entwicklung der Krebssterblichkeit in Zürich",1945,22,"Übersicht über die Krebssterblichkeit International und in Zürich 1881 bis 1944","Gesundheit, Krankheiten, Krebs, Bevölkerungsbewegung",54,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Die-neueste-Entwicklung-der-Krebssterblichkeit-in-Zuerich.pdf"
"Die ausserordentlichen Steuern der Stadt Zürich 1893 bis 1944",1945,22,"Überblick über Mietwert-, Liegenschaften-, Grundstückgewinn- und Handänderungssteuer 1893 bis 1944","Steuern, Finanzen",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Die-ausserordentlichen-Steuern-der-Stadt-Zuerich-1893-bis-1944.pdf"
"Bautätigkeit und Wohnungsmarkt Zürichs 1945/46",1945,22,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen 1945/46","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Bautaetigkeit-und-Wohnungsmarkt-Zuerichs-1945-46.pdf"
"Zürichs Bevölkerung im Jahre 1945",1945,22,"Ehen, Geburten, Tod, Wanderungsbewegung und Einbürgerungen in Zürich 1945","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Bevölkerungsstand, Bevölkerungsgliederung",32,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1945.pdf"
"Zürcher Fremdenverkehr in der Kriegszeit",1945,22,"Bestand an Fremdenbetten, Übernachtungen und Herkunft in Zürich und anderen Ländern während der Kriegszeit 1895 bis 1945","Tourismus, Aufenthaltsart, Hotel, Reisen, Übernachtungen",28,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Zuercher-Fremdenverkehr-in-der-Kriegszeit.pdf"
"Vierteljahres-Überblick",1945,22,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, dem Neubau usw. der Stadt Zürich im Überblick 1945","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",112,"https://statistik.stadt-zuerich.ch/modules/StatNat/1945/1945_ZSN_Vierteljahres-Ueberblick.pdf"
"Die Wohnungspolitik der Stadt Zürich",1946,23,"Überblick über die Wohnungspolitik der Stadt Zürich 1893 bis 1945","Wohnbautätigkeit, Preise, Mieten, Wohnungen, Finanzen",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_Die-Wohnungspolitik-der-Stadt-Zuerich.pdf"
"Gemeinderats- und Stadtratswahlen 1946",1946,23,"Übersicht über die Wahlbeteiligung der Gemeinde- und Stadtratswahlen in Zürich 1946","Politik, Stadtratswahlen, Ständeratswahlen, Wahlen, Gemeinderatswahlen, Parteistärke, Parteizugehörige",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_Gemeinderats--und-Stadtratswahlen-1946.pdf"
"Besoldungen und Löhne des im Dienste der Stadt Zürich stehenden Personals",1946,23,"Übersicht über die Löhne der städtischen Personals 1892 bis 1945","Löhne, Stadt Zürich, Personal",48,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_Besoldungen-und-Loehne-des-im-Dienste-der-Stadt-Zuerich-stehenden-Personals.pdf"
"Die städtischen Finanzen in den Kriegsjahren 1939/45",1946,23,"Überblick über die städtischen Finanzen in den Kriegsjahren 1939/45","Vermögen, Finanzen, Zinsen",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_Die-staedtischen-Finanzen-in-den-Kriegsjahren-1939-45.pdf"
"Tuberkulosesterblichkeit in Zürich",1946,23,"Tuberkulose in der Stadt Zürich, fremden Städten und Ländern, in der Schweiz 1876 bis 1945","Krankheiten, Tuberkulose, Bevölkerungsbewegung",48,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_Tuberkulosesterblichkeit-in-Zuerich.pdf"
"50 Jahre Vermessungsamt der Stadt Zürich (1. Teil)",1946,23,"Übersicht über die zürcherische Vermessung bis 1896 (1. Teil)","Vermessung, Stadtplan",38,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_50-Jahre-Vermessungsamt-der-Stadt-Zuerich.pdf"
"Säuglingssterblichkeit in Zürich",1946,23,"Übersicht über die Säuglingssterblichkeit in der Stadt Zürich, in fremden Städten und Ländern, in der Schweiz 1871 bis 1945","Sterbefälle, Säuglinge, Bevölkerungsbewegung",64,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_Saeuglingssterblichkeit-in-Zuerich.pdf"
"Die Kriegsnothilfe der Stadt Zürich",1946,23,"Überblick über die Kriegsnothilfe der Stadt und des Kanton Zürichs 1941 bis 1946","Nothilfe",48,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_Die-Kriegsnothilfe-der-Stadt-Zuerich.pdf"
"Vierteljahres-Überblick",1946,23,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, dem Neubau usw. der Stadt Zürich im Überblick 1946","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1946/1946_ZSN_Vierteljahres-Ueberblick.pdf"
"50 Jahre Vermessungsamt der Stadt Zürich (2. Teil)",1947,24,"Übersicht über die zürcherische Vermessung 1896 bis 1946 (2. Teil)","Vermessung, Stadtplan",39,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_50-Jahre-Vermessungsamt-der-Stadt-Zuerich.pdf"
"Zürcher Bau- und Wohnungsmarkt 1946/47",1947,24,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen 1946/47","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1946-47.pdf"
"Die Verteuerung der Lebenshaltungskosten ausserhalb des Indexes",1947,24,"Entwicklung der Lebenshaltungskosten ausserhalb des Indexes 1939 bis 1946","Indexreihen, Konsumentenpreise, Preise, Lebensmittel, Lebenskosten",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Die-Verteuerung-der-Lebenshaltungskosten-ausserhalb-des-Indexes.pdf"
"100 Jahre Eisenbahn Zürich-Baden",1947,24,"Geschichte über 100 Jahre Eisenbahne Zürich-Baden 1847 bis 1946","Eisenbahn",44,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_100-Jahre-Eisenbahn-Zuerich-Baden.pdf"
"Zürichs Bevölkerung im Jahre 1946",1947,24,"Ehen, Geburten, Tod, Wanderungsbewegung und Einbürgerungen in Zürich 1946","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Bevölkerungsstand, Bevölkerungsgliederung",34,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1946.pdf"
"Zürcher Sterbetafeln 1926-33 bis 1936-45",1947,24,"Überblick über die Sterblichkeit der Stadt Zürich 1926 bis 33 und 1936 bis 1945","Altersklassen, Geschlecht, Todesfälle, Todesursachen, Säuglingssterben, Bevölkerungsbewegung",56,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Zuercher-Sterbetafeln-1926-33-bis-1936-45.pdf"
"Kantonsratswahlen 1947 in der Stadt Zürich",1947,24,"Übersicht über die Parteistärke und der Kantonsratsitze nach Parteien der Kantonalratswahl in der Stadt Zürich 1947","Bevölkerung, Wahlen, Politik, Kantonsratswahlen, Parteien",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Kantonsratswahlen-1947-in-der-Stadt-Zuerich.pdf"
"Kantonale Volksabstimmungen in Stadt und Kanton Zürich 1831 bis 1947",1947,24,"Überblick über die Volksabstimmung 1831-1947 nach der Höhe der Stimmbeteiligung in Stadt und Kanton Zürich 1831 bis 1947","Wahlen, Bevölkerung",74,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Kantonale-Volksabstimmungen-in-Stadt-und-Kanton-Zuerich-1831-bis-1947.pdf"
"Nationalratswahlen 1947 in der Stadt Zürich",1947,24,"Übersicht über die Parteistärke und der Nationalratsitze nach Parteien der Nationalratswahl in der Stadt Zürich 1947","Bevölkerung, Wahlen, Politik, Nationalratswahlen, Parteien",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Nationalratswahlen-1947-in-der-Stadt-Zuerich.pdf"
"Die Mietpreise der neuen Wohnungen und die Inhaber der subventionierten neuen Wohnungen",1947,24,"Mietpreise und Inhaber der (nicht) subventionierten neuerstellten Wohnungen 1941 bis 1946","Mieten, Mietwohnungen",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Die-Mietpreise-der-neuen-Wohnungen-und-die-Inhaber-der-subventionierten-neuen-Wohnungen.pdf"
"Vierteljahres-Überblick",1947,24,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, dem Neubau usw. der Stadt Zürich im Überblick 1947","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",128,"https://statistik.stadt-zuerich.ch/modules/StatNat/1947/1947_ZSN_Vierteljahres-Ueberblick.pdf"
"Zürcher Bau- und Wohnungsmarkt 1947/48",1948,25,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen 1947/48","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1948/1948_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1947-48.pdf"
"Zürichs Bevölkerung im Jahre 1947",1948,25,"Ehen, Geburten, Tod, Wanderungsbewegung und Einbürgerungen in Zürich 1947","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Bevölkerungsstand, Bevölkerungsgliederung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1948/1948_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1947.pdf"
"50 Jahre Vermessungsamt der Stadt Zürich (Schluss)",1948,25,"Übersicht über die zürcherische Vermessung 1896 bis 1946 (Schluss)","Vermessung, Stadtplan",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1948/1948_ZSN_50-Jahre-Vermessungsamt-der-Stadt-Zuerich.pdf"
"Zur stadtzürcherischen Besoldungspolitik 1939-1947",1948,25,"Aufbau und Gehälter des städtischen Personals 1939 bis 1947","Löhne, Arbeitsmarkt, Beschäftigte, Stadt Zürich, Personal",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1948/1948_ZSN_Zur-stadtzuercherischen-Besoldungspolitik-1939-1947.pdf"
"Ehescheidungen in Zürich",1948,25,"Ehescheidungen in Zürich, der Schweiz, anderen Ländern und anderen Städten 1861 bis 1947","Scheidung, Ehescheidung, Bevölkerungsbewegung",44,"https://statistik.stadt-zuerich.ch/modules/StatNat/1948/1948_ZSN_Ehescheidungen-in-Zuerich.pdf"
"Eidgenössische Wehrsteuer 3. Periode und eidgenössisches Wehropfer 1945 in Zürich",1948,25,"Eidgenössische Wehrsteuer 3. Periode und eidgenössisches Wehropfer in Zürich nach Sozialklassen, Erwerbszweigen und Vermögensstufen 1945","Steuern, Zweiter Weltkrieg",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1948/1948_ZSN_Eidgenoessische-Wehrsteuer-3-Periode-und-eidgenoessisches-Wehropfer-1945-in-Zuerich.pdf"
"Körpermessungen an Zürcher Volksschülern",1948,25,"Kennzahlen und Resultate der Körpermessungen an Zürcher Volksschülern 1934 bis 1948","Kinder, Gesundheit, Geschlecht, Schule",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1948/1948_ZSN_Koerpermessungen-an-Zuercher-Volksschuelern.pdf"
